"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1595,1395,1450,1375,1595,1600,1500,1425,1500,1572.5,1500,1750,1870,1650,1795,1497.5,1550,1787,1800,1550,1698,1745,1650,1700,1922.5,1961,1997.5,2068,2000,1879,1850,1795,1795,1900,1912.5,1995,1900,1962.5,1962.5,1950,1950,1872.5,1800,1950,2000,1950,1900,1900,1949.5,2025,1995,2000,2095,2000,1995,1895,1850,1850
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,,1097.5,1100,1100,1150,1150,1150,1150,1100,1100,1100,1100,1100,1100,1095,1095,1100,1125,1100,1100,1095,1050,1050,1050,1050,1050,1095,1100,1100,1100,1100,1125,1150,1150,1100,1150,1100,1100,1100,1100,1150,1150,1150,1150,1149,1125,1149.5,1100,1148,1125,1150,1175,1195,1195,1200,1200,1200,1190,1200,1200,1200,1225,1250,1228,1235,1261.5,1250,1250,1200,1200,1295,1199.5,1250,1270,1285,1300,1300,1300,1330.5,1300,1300,1325,1300,1300,1307.5,1320,1375,1375,1397.5,1395,1400,1399,1449.5,1425,1400,1412.5,1450,1420,1425,1477.5,1462.5,1495,1475,1477.5,1473,1477.5,1515,1500
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,5075,5550,5095,5250,5500,5812.5,5967.5,6000,5995,5500,5490,5700,5700,5567.5,5700,6067,6000,6172,6000,5900,6000,5800,5500,5500,5296,4995,5500,5500,5200,5495,5495,5500,5700,5695,5295,5595,6250,6500,6500,6500,6400,6500,6500,6499.5,6500,6795,6500,6400,6500,6500,6395,6395,6295,6350,6197.5,6300,6250,6050,6200,6000,5497,5295,6200,5950,5785,5995,5700,6000,6100,6000,5895,5695,5950,5750,5822,5995,6272,6000,6200,6050,5995,5995,5995,5900,5499,5897.5,6000,5494.5,6200,6200,6350,6000,5995,5697.5,5895,5900,5797.5,5695,5995,6200,6297.5,6495
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2487.5,2475,2395,2395,2395,2350,2212.5,2292.5,2195,2195,2275,2500,2497.5,2600,2500,2512.5,2600,2700,2665,2615,2645.5,2599.5,2695,2640.5,2650,2641,2610,2645.5,2650,2700,2695,2700,2700,2750,2762.5
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,4500,4350,4295,4317.5,4395,4280,4495,4300,4400,4497.5,4495,4495,4200,4400,4495,4300,4495,4595,4585,4600,4650,4650,4695,4595,4500,4400,4495,4500,4895,4895,4795,4900,5000,5107.5,5300,5200,5000,5500,5795,6000,6000,6000,6095,6450,5500,5500,5965,5995,5500,5600,5695,5500,5195,5200,5500,5895,5972.5,5950,5950,6140,6450,5500,5100,4995,5129,5697.5,5500,5595,5500,5995,5995,5600,5810,5595,5569,5500,6200,5800,5500,5000,5310,5300,4995,4995,4985,4985,4900,5000,5151.5,4995,5225,5500,5500,5500,5500,5547.5,5500,5272.5,5095,5500,5500,5926.5,6000,6000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,900,900,937.5,900,925,950,925,900,925,925,900,899,900,900,898,900,925,900,900,900,900,900,900,895,895,899,900,925,900,900,900,900,899,895,899,899,899,900,900,917.5,950,950,925,925,950,940,950,925,925,950,950,950,950,950,950,950,950,975,975,950,957.5,985,995,985,982.5,1000,1047.5,975,1000,985,1000,1000,995,999,1050,1050,1062.5,1100,1095,1070,1100,1095,1075,1075,1085,1075,1099,1100,1127.5,1145,1185,1135,1145,1145,1150,1150,1195,1195,1200,1200,1200,1212.5,1225,1200,1200,1250,1250,1247
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,1195,1200,1225,1250,1207.5,1200,1200,1195,1150,1150,1175,1150,1125,1100,1100,1100,1125.5,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1150,1125,1145,1125,1150,1150,1150,1150,1180,1195,1195,1190,1192.5,1185,1195,1200,1195,1195,1200,1199,1200,1200,1225,1230,1225,1225,1245,1250,1200,1250,1250,1285,1250,1235,1250,1250,1250,1295,1250,1250,1275,1250,1250,1250,1299,1295,1300,1300,1300,1300,1334,1350,1350,1350,1350,1350,1350,1363.5,1399.5,1450,1450,1400,1425,1418,1495,1495,1498,1500,1500,1525,1500,1600,1550,1550,1550,1565,1569.5,1550,1550,1500
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385,2400,2400,2400,2500,2500,2500,2300,2400,2300,2272.5,2400,2500
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800,1800,1800,1800,1800,1800,1900,1900,1900,1900,1900,2000,2000,2000,1900,2000,2000,2000,2000,1900,2000,2000,2000,2000,2000,2050,2200,2100,2000,2174.5,2100,2200,2150,2200,2200,2200,2194.5,2200,2197.5,2200,2200,2200,2250,2300,2300,2200,2200,2250,2250,2300,2295,2250,2299.5,2299.5,2300,2350,2400,2306,2300,2300,2350,2400,2396.5,2394.5
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1268,1335,1339,1354.5,1405,1398.5,1351,1392,1372.5,1346.5,1339,1300,1349,1479,1474,1500,1509,1545,1545,1532,1545,1587,1552,1563,1719,1729.5,1600,1592,1646,1683,1606.5,1573,1639.5,1586,1583.5
